model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.83, 0.72, 0.72, 0.75, 0.75, 0.73, 0.72, 0.75, 0.7, 0.67, 0.73, 0.77, 0.73, 0.82, 0.8, 0.75, 0.73, 0.8, 0.82, 0.75]",0.752,"[0.833, 0.75, 0.717, 0.75, 0.65, 0.8, 0.75, 0.667, 0.733, 0.783, 0.717, 0.767, 0.717, 0.7, 0.717, 0.75, 0.717, 0.75, 0.683, 0.75, 0.717, 0.833, 0.733, 0.7, 0.75, 0.583, 0.733, 0.717, 0.65, 0.65, 0.733, 0.817, 0.783, 0.8, 0.733, 0.8, 0.767, 0.733, 0.75, 0.65, 0.783, 0.7, 0.8, 0.733, 0.75, 0.75, 0.717, 0.833, 0.667, 0.75, 0.683, 0.683, 0.783, 0.75, 0.733, 0.617, 0.783, 0.8, 0.733, 0.783, 0.633, 0.683, 0.65, 0.683, 0.633, 0.767, 0.7, 0.683, 0.833, 0.733, 0.7, 0.733, 0.783, 0.7, 0.8, 0.617, 0.683, 0.767, 0.7, 0.7, 0.8, 0.8, 0.767, 0.717, 0.633, 0.7, 0.683, 0.65, 0.767, 0.683, 0.75, 0.75, 0.733, 0.633, 0.8, 0.667, 0.733, 0.683, 0.733, 0.7]",0.727
1,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.8, 0.68, 0.72, 0.78, 0.77, 0.7, 0.72, 0.72, 0.7, 0.72, 0.68, 0.77, 0.73, 0.88, 0.75, 0.73, 0.73, 0.8, 0.83, 0.77]",0.749,"[0.833, 0.733, 0.7, 0.75, 0.65, 0.783, 0.733, 0.717, 0.683, 0.767, 0.7, 0.75, 0.733, 0.7, 0.717, 0.767, 0.733, 0.733, 0.683, 0.783, 0.717, 0.817, 0.75, 0.7, 0.767, 0.567, 0.733, 0.683, 0.633, 0.65, 0.717, 0.85, 0.767, 0.817, 0.733, 0.833, 0.7, 0.733, 0.733, 0.667, 0.75, 0.7, 0.783, 0.75, 0.75, 0.733, 0.733, 0.833, 0.667, 0.733, 0.683, 0.667, 0.767, 0.75, 0.733, 0.6, 0.817, 0.783, 0.75, 0.767, 0.65, 0.733, 0.633, 0.7, 0.683, 0.75, 0.683, 0.667, 0.85, 0.717, 0.683, 0.75, 0.767, 0.733, 0.8, 0.633, 0.65, 0.783, 0.7, 0.667, 0.767, 0.817, 0.75, 0.683, 0.633, 0.7, 0.667, 0.65, 0.783, 0.683, 0.767, 0.767, 0.733, 0.633, 0.817, 0.667, 0.75, 0.7, 0.733, 0.683]",0.726
2,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.83, 0.73, 0.72, 0.75, 0.75, 0.72, 0.72, 0.73, 0.7, 0.68, 0.67, 0.77, 0.75, 0.83, 0.8, 0.72, 0.73, 0.78, 0.82, 0.77]",0.748,"[0.817, 0.733, 0.7, 0.733, 0.65, 0.783, 0.767, 0.7, 0.683, 0.733, 0.7, 0.767, 0.75, 0.7, 0.717, 0.767, 0.717, 0.733, 0.683, 0.75, 0.717, 0.833, 0.733, 0.7, 0.783, 0.583, 0.75, 0.7, 0.65, 0.633, 0.767, 0.817, 0.8, 0.817, 0.733, 0.817, 0.717, 0.717, 0.733, 0.7, 0.733, 0.7, 0.8, 0.733, 0.75, 0.733, 0.7, 0.85, 0.667, 0.717, 0.7, 0.683, 0.783, 0.75, 0.75, 0.617, 0.833, 0.783, 0.75, 0.75, 0.667, 0.717, 0.617, 0.7, 0.683, 0.717, 0.7, 0.7, 0.833, 0.75, 0.733, 0.733, 0.767, 0.733, 0.8, 0.667, 0.667, 0.8, 0.7, 0.7, 0.767, 0.783, 0.767, 0.683, 0.617, 0.717, 0.667, 0.65, 0.783, 0.717, 0.733, 0.717, 0.733, 0.633, 0.817, 0.667, 0.717, 0.7, 0.717, 0.683]",0.727
3,random_forest,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.73, 0.7, 0.73, 0.77, 0.73, 0.72, 0.72, 0.72, 0.7, 0.7, 0.75, 0.78, 0.85, 0.77, 0.72, 0.72, 0.75, 0.83, 0.77]",0.746,"[0.817, 0.717, 0.683, 0.783, 0.7, 0.767, 0.7, 0.717, 0.65, 0.783, 0.7, 0.767, 0.767, 0.683, 0.75, 0.8, 0.683, 0.767, 0.683, 0.783, 0.733, 0.833, 0.75, 0.683, 0.75, 0.55, 0.717, 0.717, 0.65, 0.633, 0.75, 0.8, 0.783, 0.8, 0.717, 0.783, 0.767, 0.75, 0.733, 0.683, 0.783, 0.683, 0.783, 0.75, 0.75, 0.75, 0.767, 0.817, 0.667, 0.75, 0.7, 0.717, 0.75, 0.75, 0.733, 0.633, 0.8, 0.783, 0.75, 0.717, 0.667, 0.7, 0.7, 0.717, 0.717, 0.717, 0.7, 0.683, 0.8, 0.733, 0.717, 0.7, 0.8, 0.7, 0.8, 0.667, 0.683, 0.767, 0.717, 0.683, 0.8, 0.817, 0.75, 0.7, 0.65, 0.717, 0.717, 0.7, 0.767, 0.667, 0.783, 0.783, 0.733, 0.633, 0.8, 0.667, 0.75, 0.683, 0.733, 0.683]",0.73
4,random_forest,"{'n_estimators': 190, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.83, 0.75, 0.7, 0.77, 0.72, 0.77, 0.7, 0.73, 0.7, 0.67, 0.73, 0.75, 0.73, 0.88, 0.75, 0.7, 0.65, 0.78, 0.83, 0.78]",0.746,"[0.817, 0.65, 0.75, 0.767, 0.717, 0.8, 0.767, 0.683, 0.65, 0.75, 0.717, 0.733, 0.783, 0.733, 0.783, 0.767, 0.717, 0.767, 0.733, 0.783, 0.75, 0.85, 0.767, 0.7, 0.75, 0.533, 0.8, 0.733, 0.65, 0.683, 0.733, 0.783, 0.767, 0.767, 0.717, 0.8, 0.75, 0.717, 0.767, 0.7, 0.717, 0.767, 0.8, 0.783, 0.733, 0.733, 0.767, 0.867, 0.7, 0.75, 0.667, 0.7, 0.717, 0.75, 0.8, 0.683, 0.8, 0.817, 0.733, 0.667, 0.717, 0.717, 0.7, 0.717, 0.633, 0.733, 0.767, 0.683, 0.8, 0.7, 0.733, 0.717, 0.75, 0.7, 0.8, 0.683, 0.667, 0.75, 0.717, 0.683, 0.767, 0.817, 0.767, 0.717, 0.667, 0.75, 0.733, 0.633, 0.783, 0.65, 0.783, 0.783, 0.767, 0.65, 0.783, 0.7, 0.717, 0.683, 0.7, 0.717]",0.735
5,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.85, 0.72, 0.73, 0.72, 0.78, 0.7, 0.7, 0.73, 0.7, 0.72, 0.65, 0.75, 0.72, 0.85, 0.77, 0.75, 0.75, 0.77, 0.78, 0.78]",0.746,"[0.833, 0.733, 0.717, 0.767, 0.667, 0.8, 0.75, 0.717, 0.667, 0.783, 0.733, 0.767, 0.733, 0.7, 0.733, 0.783, 0.717, 0.75, 0.683, 0.75, 0.717, 0.85, 0.75, 0.7, 0.783, 0.55, 0.733, 0.7, 0.65, 0.633, 0.717, 0.817, 0.8, 0.783, 0.717, 0.833, 0.717, 0.733, 0.733, 0.683, 0.733, 0.683, 0.767, 0.733, 0.75, 0.733, 0.75, 0.833, 0.667, 0.733, 0.667, 0.667, 0.8, 0.75, 0.733, 0.617, 0.767, 0.85, 0.767, 0.783, 0.667, 0.717, 0.667, 0.7, 0.667, 0.75, 0.767, 0.717, 0.817, 0.7, 0.75, 0.717, 0.783, 0.767, 0.783, 0.667, 0.667, 0.783, 0.717, 0.683, 0.783, 0.817, 0.767, 0.683, 0.633, 0.717, 0.667, 0.7, 0.8, 0.7, 0.75, 0.767, 0.75, 0.65, 0.817, 0.65, 0.733, 0.7, 0.733, 0.667]",0.731
6,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.75, 0.7, 0.72, 0.75, 0.75, 0.72, 0.73, 0.7, 0.68, 0.73, 0.77, 0.75, 0.87, 0.73, 0.73, 0.7, 0.78, 0.83, 0.75]",0.745,"[0.8, 0.717, 0.7, 0.783, 0.667, 0.8, 0.733, 0.683, 0.65, 0.783, 0.683, 0.75, 0.75, 0.733, 0.717, 0.767, 0.667, 0.767, 0.717, 0.75, 0.75, 0.85, 0.8, 0.667, 0.783, 0.55, 0.717, 0.717, 0.617, 0.633, 0.733, 0.817, 0.8, 0.817, 0.717, 0.8, 0.733, 0.733, 0.75, 0.7, 0.767, 0.7, 0.783, 0.767, 0.75, 0.75, 0.75, 0.817, 0.717, 0.733, 0.7, 0.683, 0.767, 0.733, 0.733, 0.617, 0.8, 0.817, 0.733, 0.7, 0.683, 0.717, 0.667, 0.717, 0.683, 0.7, 0.717, 0.7, 0.833, 0.7, 0.717, 0.717, 0.783, 0.7, 0.817, 0.667, 0.667, 0.783, 0.717, 0.7, 0.8, 0.817, 0.733, 0.683, 0.667, 0.733, 0.75, 0.65, 0.767, 0.683, 0.767, 0.8, 0.733, 0.617, 0.817, 0.667, 0.75, 0.667, 0.717, 0.7]",0.73
7,random_forest,"{'n_estimators': 225, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.82, 0.73, 0.72, 0.75, 0.72, 0.72, 0.72, 0.73, 0.7, 0.73, 0.68, 0.77, 0.75, 0.83, 0.75, 0.75, 0.72, 0.73, 0.8, 0.77]",0.744,"[0.833, 0.717, 0.7, 0.767, 0.667, 0.8, 0.767, 0.717, 0.65, 0.8, 0.717, 0.75, 0.733, 0.717, 0.717, 0.783, 0.717, 0.75, 0.683, 0.783, 0.7, 0.8, 0.75, 0.7, 0.783, 0.583, 0.75, 0.683, 0.65, 0.65, 0.75, 0.833, 0.8, 0.833, 0.717, 0.8, 0.733, 0.7, 0.767, 0.7, 0.75, 0.717, 0.75, 0.75, 0.767, 0.733, 0.733, 0.833, 0.633, 0.733, 0.683, 0.65, 0.8, 0.783, 0.717, 0.617, 0.833, 0.833, 0.767, 0.783, 0.65, 0.717, 0.65, 0.7, 0.683, 0.733, 0.717, 0.717, 0.8, 0.75, 0.717, 0.733, 0.783, 0.717, 0.817, 0.65, 0.683, 0.783, 0.683, 0.65, 0.783, 0.8, 0.783, 0.667, 0.633, 0.717, 0.683, 0.65, 0.8, 0.7, 0.75, 0.75, 0.717, 0.633, 0.8, 0.65, 0.75, 0.7, 0.717, 0.683]",0.73
8,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.82, 0.72, 0.73, 0.75, 0.75, 0.72, 0.72, 0.73, 0.7, 0.72, 0.67, 0.73, 0.73, 0.82, 0.77, 0.73, 0.7, 0.73, 0.87, 0.75]",0.743,"[0.833, 0.75, 0.7, 0.733, 0.683, 0.767, 0.767, 0.7, 0.667, 0.767, 0.683, 0.75, 0.733, 0.717, 0.733, 0.783, 0.683, 0.733, 0.683, 0.767, 0.7, 0.833, 0.783, 0.667, 0.783, 0.55, 0.733, 0.7, 0.65, 0.617, 0.733, 0.8, 0.783, 0.8, 0.733, 0.8, 0.717, 0.733, 0.75, 0.65, 0.767, 0.7, 0.767, 0.717, 0.75, 0.717, 0.75, 0.867, 0.667, 0.733, 0.683, 0.683, 0.783, 0.733, 0.683, 0.633, 0.8, 0.833, 0.767, 0.767, 0.667, 0.717, 0.683, 0.7, 0.7, 0.717, 0.733, 0.683, 0.833, 0.733, 0.7, 0.75, 0.783, 0.75, 0.817, 0.667, 0.683, 0.767, 0.717, 0.683, 0.767, 0.8, 0.767, 0.65, 0.65, 0.733, 0.65, 0.65, 0.8, 0.717, 0.75, 0.75, 0.733, 0.633, 0.817, 0.683, 0.733, 0.667, 0.733, 0.667]",0.728
9,random_forest,"{'n_estimators': 195, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.73, 0.7, 0.73, 0.75, 0.73, 0.68, 0.72, 0.72, 0.67, 0.72, 0.75, 0.77, 0.85, 0.73, 0.77, 0.73, 0.77, 0.82, 0.75]",0.743,"[0.783, 0.717, 0.717, 0.733, 0.667, 0.767, 0.717, 0.683, 0.667, 0.783, 0.7, 0.75, 0.767, 0.7, 0.717, 0.783, 0.683, 0.75, 0.683, 0.733, 0.733, 0.833, 0.733, 0.683, 0.75, 0.583, 0.717, 0.717, 0.65, 0.633, 0.733, 0.817, 0.783, 0.833, 0.717, 0.783, 0.783, 0.767, 0.767, 0.683, 0.8, 0.7, 0.8, 0.75, 0.733, 0.733, 0.767, 0.833, 0.683, 0.75, 0.683, 0.667, 0.75, 0.767, 0.75, 0.667, 0.833, 0.783, 0.75, 0.733, 0.7, 0.717, 0.683, 0.733, 0.683, 0.733, 0.7, 0.683, 0.8, 0.717, 0.733, 0.7, 0.783, 0.717, 0.8, 0.65, 0.667, 0.783, 0.683, 0.7, 0.8, 0.8, 0.767, 0.717, 0.65, 0.7, 0.733, 0.667, 0.767, 0.7, 0.767, 0.783, 0.75, 0.617, 0.817, 0.65, 0.75, 0.667, 0.717, 0.717]",0.73
